name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maluku,1/1/2014,27.9,24.1,27.1,31.8,24.1,30.1,23.9,82.9,58,100,8.33,rain,,,,12.6,340.1,1009.5,86.7,5.3,132.2,11.5,4,,2014-01-01T06:20:42,2014-01-01T18:40:33,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97724099999,remote"
Maluku,1/2/2014,27.4,24,26.7,31.6,24,29.4,24.6,88.2,37.5,100,100,rain,,,,25.9,267.3,1009.9,82.4,5.3,80.6,6.9,3,,2014-01-02T06:21:12,2014-01-02T18:41:00,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAPP,remote"
Maluku,1/3/2014,29,27,27.8,34.4,30.2,31.7,24.4,82.3,14.3,100,100,rain,,,,12.2,244.4,1010,84.5,10,127.9,10.9,5,,2014-01-03T06:21:41,2014-01-03T18:41:26,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAPP,remote"
Maluku,1/4/2014,29.1,24,28.2,35.5,24,32.7,24.8,82,4.1,100,45.83,rain,,,,19.8,300.6,1009.3,72.2,9.3,209.3,17.9,7,,2014-01-04T06:22:11,2014-01-04T18:41:51,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAPP,remote"
Maluku,1/5/2014,28.6,28,28.3,33.7,32.4,33,24.9,81.8,0.7,100,29.17,rain,,,,16.2,312.2,,75.5,,152.5,13.1,5,,2014-01-05T06:22:40,2014-01-05T18:42:16,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Maluku,1/6/2014,28.2,27.8,28.1,33.4,32.3,32.7,25,83.3,0,0,0,,,,,16.6,294.5,,82.2,,126.4,10.9,5,,2014-01-06T06:23:09,2014-01-06T18:42:40,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Maluku,1/7/2014,31,16,28.2,39,16,33,24.8,80.3,5.2,100,100,rain,,,,22.3,263.1,1006.6,79.1,9.4,164.7,14,6,,2014-01-07T06:23:37,2014-01-07T18:43:04,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAPP,remote"
Maluku,1/8/2014,28.5,27.8,28,33.9,31.8,32.5,25,83.8,4.1,100,100,rain,,,,22,309.4,,81.4,,110.9,9.5,4,,2014-01-08T06:24:05,2014-01-08T18:43:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Maluku,1/9/2014,28.3,25,27.6,32.6,25,31.5,24.5,83.2,2.4,100,100,rain,,,,19.1,326.3,1007.5,73.6,10,151.8,13,6,,2014-01-09T06:24:33,2014-01-09T18:43:50,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAPP,remote"
Maluku,1/10/2014,28.2,27.3,27.6,32.8,31.1,31.8,25,85.4,2.5,100,100,rain,,,,19.4,323.3,,82.1,,123.6,10.6,4,,2014-01-10T06:25:01,2014-01-10T18:44:11,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
