name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nusa Tenggara Barat,2014-01-01,27.1,24.1,25.7,30.2,24.1,26.0,24.0,90.7,11.6,100,8.33,rain,,,,20.9,289.7,1010.1,85.3,6.1,134.1,11.5,5,,2014-01-01T06:00:34,2014-01-01T18:37:21,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-02,28.1,23.1,25.4,32.8,23.1,26.0,23.8,91.1,42.0,100,12.5,rain,,,,20.2,226.4,1010.4,80.9,3.9,152.0,13.1,5,,2014-01-02T06:01:06,2014-01-02T18:37:45,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-03,31.1,23.9,26.1,37.9,23.9,27.5,24.1,89.0,110.0,100,8.33,rain,,,,18.4,250.0,1009.4,67.2,6.4,203.2,17.4,7,,2014-01-03T06:01:38,2014-01-03T18:38:09,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-04,30.9,24.1,26.0,36.4,24.1,27.1,23.3,85.8,19.0,100,4.17,rain,,,,18.4,265.2,1008.7,67.3,7.3,183.7,15.8,6,,2014-01-04T06:02:10,2014-01-04T18:38:32,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-05,30.1,24.1,26.6,37.6,24.1,28.4,24.2,87.2,12.0,100,4.17,rain,,,,16.6,314.1,1007.9,65.9,7.0,215.9,18.8,8,,2014-01-05T06:02:41,2014-01-05T18:38:54,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-06,32.1,25.1,27.6,39.3,25.1,30.6,24.8,85.3,1.0,100,8.33,rain,,,,18.4,248.9,1008.0,62.5,6.9,144.3,12.4,5,,2014-01-06T06:03:13,2014-01-06T18:39:15,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-07,31.1,24.1,27.7,38.7,24.1,31.1,24.6,83.6,0.4,100,16.67,rain,,,,18.4,175.3,1009.2,51.9,8.4,160.5,13.7,5,,2014-01-07T06:03:45,2014-01-07T18:39:36,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-08,31.2,24.9,26.9,37.6,24.9,29.0,24.6,87.8,1.0,100,4.17,rain,,,,18.4,175.8,1009.3,61.2,8.1,195.7,16.8,7,,2014-01-08T06:04:16,2014-01-08T18:39:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-09,31.1,24.4,28.1,37.9,24.4,32.1,24.7,82.1,0.9,100,20.83,rain,,,,24.1,248.7,1009.6,52.0,8.5,206.4,17.8,7,,2014-01-09T06:04:47,2014-01-09T18:40:15,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"97240099999,remote"
Nusa Tenggara Barat,2014-01-10,31.1,24.1,27.0,37.9,24.1,29.0,24.5,87.2,67.0,100,8.33,rain,,,,16.6,281.7,1009.0,59.8,6.6,139.1,11.8,5,,2014-01-10T06:05:18,2014-01-10T18:40:33,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97240099999,remote"
