name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua barat daya,1/1/2014,29.3,19.9,24,34.1,19.9,25.1,22,89.2,8.747,100,29.17,rain,,,,16.6,282.3,1011.6,81.4,5.5,185.2,15.9,6,,2014-01-01T05:41:25,2014-01-01T18:11:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,96739099999,WIHH,WIII,remote,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/2/2014,32,20.2,25.8,38.3,20.2,27.8,22.4,82.6,6.888,100,8.33,rain,,,,23,267.4,1011,64.6,6.6,302.8,26.2,10,,2014-01-02T05:41:56,2014-01-02T18:11:29,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,96739099999,WIHH,WIII,remote,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/3/2014,32,22.5,27,38.3,22.5,29.2,23.2,80.3,5.41,100,16.67,rain,,,,18.2,294.9,1010,61.1,6.4,256.2,22,9,,2014-01-03T05:42:27,2014-01-03T18:11:54,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/4/2014,32.1,22.5,27,36.4,22.5,29,22.8,78.8,2.326,100,12.5,rain,,,,36,253.8,1009.5,60.3,7.1,266.2,23,9,,2014-01-04T05:42:58,2014-01-04T18:12:17,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/5/2014,31.4,21.4,26.1,36,21.4,27.2,21.7,77.4,1.239,100,12.5,rain,,,40.7,26.6,244.7,1009,57.8,8,119.6,10.3,4,,2014-01-05T05:43:29,2014-01-05T18:12:41,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/6/2014,30.5,23,26,34.5,23,27.5,22.3,80.3,9.767,100,4.17,rain,,,40.7,25.9,240.5,1008.9,73,6.6,236.2,20.2,9,,2014-01-06T05:43:59,2014-01-06T18:13:03,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/7/2014,31,20.4,26.1,35.8,20.4,27.8,22.5,81.8,3.211,100,12.5,rain,,,,14.8,286.8,1009.4,73,6,233.3,20.3,8,,2014-01-07T05:44:29,2014-01-07T18:13:25,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/8/2014,25.7,22.2,24.3,25.7,22.2,24.3,22.8,91.7,29.178,100,20.83,rain,,,,14.8,247.4,1010.5,85.1,5,153.6,13.3,6,,2014-01-08T05:45:00,2014-01-08T18:13:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/9/2014,33.1,23,27.6,38.1,23,29.2,21.9,73.1,0.6,100,4.17,rain,,,,26.9,234,1009.9,57.2,6.9,192.5,16.6,6,,2014-01-09T05:45:29,2014-01-09T18:14:07,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/10/2014,33,22.7,26.9,40.6,22.7,28.6,22.3,76.9,12.46,100,12.5,rain,,,44.3,24.1,230.7,1009.3,66.8,7.7,151.6,13.2,5,,2014-01-10T05:45:59,2014-01-10T18:14:27,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/11/2014,31.6,21.9,26.3,36.6,21.9,28.1,22.6,81.4,26.594,100,12.5,rain,,,,17.8,323.1,1009.9,66.4,6.8,97.9,8.3,3,,2014-01-11T05:46:28,2014-01-11T18:14:46,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/12/2014,26.2,21.1,23.9,26.2,21.1,23.9,22.8,93.4,75.125,100,29.17,rain,,,,24,265.7,1011.3,81.1,4.7,187,16,7,,2014-01-12T05:46:57,2014-01-12T18:15:04,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,96739099999,WIII,WIHH,remote,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/13/2014,29,20.6,24.7,33,20.6,25.3,22.7,89.2,40.908,100,29.17,rain,,,,14.8,270.9,1011.6,80.7,5.2,168.6,14.6,5,,2014-01-13T05:47:25,2014-01-13T18:15:21,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/14/2014,31,21.7,26.1,36.5,21.7,27.5,22.9,83.5,13.498,100,20.83,rain,,,,22.3,278.5,1011.2,78.2,5.4,255.5,22.1,8,,2014-01-14T05:47:53,2014-01-14T18:15:37,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/15/2014,28.4,21.7,24.2,31.4,21.7,24.5,22.4,89.7,24.509,100,29.17,rain,,,,16.5,267.6,1012.5,84.8,4.8,189.8,16.4,6,,2014-01-15T05:48:21,2014-01-15T18:15:53,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/16/2014,28,21.3,24.9,31.9,21.3,25.3,22.7,87.9,29.238,100,29.17,rain,,,29.5,20.5,294.7,1011.7,88.7,4.5,260.9,22.5,9,,2014-01-16T05:48:48,2014-01-16T18:16:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/17/2014,28.1,20.7,24.6,31.7,20.7,25.2,22.7,89.6,85.896,100,29.17,rain,,,40.7,24.1,298,1011.5,93.3,4.3,173.5,14.9,6,,2014-01-17T05:49:14,2014-01-17T18:16:22,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/18/2014,29,21.9,25,32.7,21.9,25.7,22.1,85.1,72.323,100,29.17,rain,,,44.3,33.5,309.4,1012.1,93.8,4.5,123.5,10.6,5,,2014-01-18T05:49:41,2014-01-18T18:16:35,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,remote,96745099999,96749599999"
Papua barat daya,1/19/2014,30,21.4,25.5,35.1,21.4,26.7,22.5,84.1,34.893,100,29.17,rain,,,,24.1,317.7,1012.1,88.5,6.7,156.8,13.4,6,,2014-01-19T05:50:06,2014-01-19T18:16:47,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,remote,96751099999,96745099999"
Papua barat daya,1/20/2014,27,22.1,24.9,30.1,22.1,25.2,22.8,88.5,31.128,100,33.33,rain,,,,22.3,301.8,1011.5,84.2,4,170,14.7,6,,2014-01-20T05:50:31,2014-01-20T18:16:58,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/21/2014,26,21.7,23.9,26,21.7,23.9,22.3,90.9,77.471,100,33.33,rain,,,37.1,22.3,288.4,1011.7,95.8,3.8,106.6,9.4,4,,2014-01-21T05:50:56,2014-01-21T18:17:08,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/22/2014,28.3,21,24.8,31.3,21,25.7,22.2,85.8,20.518,100,20.83,rain,,,,20.5,300.3,1011.6,79.2,5,187.3,16.1,6,,2014-01-22T05:51:20,2014-01-22T18:17:17,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/23/2014,26.3,21.7,24.3,26.3,21.7,24.3,22.1,87.6,37.956,100,33.33,rain,,,35.3,20.5,299.3,1011.8,91.9,4.2,212.1,18.4,7,,2014-01-23T05:51:43,2014-01-23T18:17:26,0.74,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Papua barat daya,1/24/2014,29,21.3,24.9,32.7,21.3,25.7,22.4,86.5,34.32,100,29.17,rain,,,,22.3,309.9,1010.8,86.7,4.5,285,24.4,10,,2014-01-24T05:52:06,2014-01-24T18:17:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
