name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua selatan,2014-01-01,31.0,24.0,25.4,44.3,24.0,27.0,24.8,97.0,37.588,100,20.83,rain,,,,29.5,352.5,1010.7,57.6,8.0,141.7,12.3,5,,2014-01-01T05:52:39,2014-01-01T18:18:30,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-02,27.0,24.0,25.0,31.8,24.0,25.4,24.8,98.4,28.02,100,25.0,rain,,,,16.1,357.7,1010.7,65.9,7.9,105.9,9.0,4,,2014-01-02T05:53:10,2014-01-02T18:18:56,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-03,29.0,24.0,25.9,39.7,24.0,28.3,25.6,98.2,35.027,100,16.67,rain,,,,17.9,8.0,1009.9,60.2,7.9,94.9,8.5,4,,2014-01-03T05:53:40,2014-01-03T18:19:21,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-04,30.4,24.0,26.1,44.2,24.0,28.8,25.6,97.4,24.564,100,16.67,rain,,,,16.6,41.0,1009.3,54.8,7.8,207.2,18.0,7,,2014-01-04T05:54:10,2014-01-04T18:19:45,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-05,30.0,24.0,26.6,44.2,24.0,30.4,25.9,96.2,1.478,100,4.17,rain,,,,18.5,19.3,1008.9,40.2,8.9,137.0,11.8,4,,2014-01-05T05:54:40,2014-01-05T18:20:09,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-06,30.0,24.0,26.3,44.2,24.0,29.1,25.5,95.8,3.774,100,12.5,rain,,,,16.6,352.0,1008.9,47.5,8.6,126.4,10.9,4,,2014-01-06T05:55:10,2014-01-06T18:20:33,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-07,29.0,24.0,26.3,39.7,24.0,29.3,25.8,97.0,34.138,100,16.67,rain,,,,22.3,358.2,1009.6,50.2,8.6,214.3,18.4,7,,2014-01-07T05:55:40,2014-01-07T18:20:55,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-08,31.0,23.0,27.0,49.0,23.0,30.9,25.3,91.0,1.521,100,8.33,rain,,,,14.8,345.6,1009.1,45.6,9.6,195.5,17.0,7,,2014-01-08T05:56:09,2014-01-08T18:21:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-09,31.0,23.9,26.4,37.7,23.9,28.8,24.3,88.6,21.364,100,12.5,rain,,,,18.4,342.9,1009.2,54.8,8.8,203.8,17.7,7,,2014-01-09T05:56:38,2014-01-09T18:21:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999,remote"
Papua selatan,2014-01-10,30.0,24.0,26.2,36.2,24.0,27.9,24.2,89.6,39.617,100,16.67,rain,,,,23.2,349.1,1009.5,58.6,8.2,141.7,12.2,5,,2014-01-10T05:57:07,2014-01-10T18:21:59,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999,remote"
Papua selatan,2014-01-11,31.0,24.0,27.1,36.6,24.0,29.4,23.9,84.2,14.463,100,12.5,rain,,,,16.2,14.5,1010.5,52.4,8.7,203.9,17.4,7,,2014-01-11T05:57:35,2014-01-11T18:22:19,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAAA,97182099999,97180099999,remote"
Papua selatan,2014-01-12,31.0,24.0,27.3,39.1,24.0,30.1,24.3,84.4,2.51,100,12.5,rain,,,,27.1,326.6,1010.3,52.3,8.9,161.5,13.8,5,,2014-01-12T05:58:03,2014-01-12T18:22:38,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999,remote"
Papua selatan,2014-01-13,30.0,24.0,26.7,36.2,24.0,29.5,25.1,91.1,72.388,100,20.83,rain,,,,26.6,165.2,1009.4,62.7,8.1,148.9,13.1,5,,2014-01-13T05:58:31,2014-01-13T18:22:56,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999,remote"
Papua selatan,2014-01-14,28.0,25.0,26.2,32.7,25.0,27.3,24.9,92.9,22.263,100,29.17,rain,,,,16.6,87.3,1008.6,65.7,7.6,134.3,11.8,5,,2014-01-14T05:58:58,2014-01-14T18:23:13,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Papua selatan,2014-01-15,29.0,25.0,26.7,32.7,25.0,28.8,24.3,86.9,25.144,100,29.17,rain,,,,31.5,277.1,1008.7,75.2,6.9,132.7,11.5,4,,2014-01-15T05:59:24,2014-01-15T18:23:30,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
