name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
papua tengah ,1/1/2014,82.6,69.2,76.3,89.5,69.2,77.9,73.1,90.4,0.38,100,16.67,rain,,,,15,264.5,1010.5,88.7,3.9,133.6,11.6,4,,2014-01-01T05:29:00,2014-01-01T17:59:59,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/2/2014,87.8,68.4,78.3,97.8,68.4,81.4,73.6,86.3,0.296,100,8.33,rain,,,,15,298.7,1009.7,68.3,4.1,255.3,21.9,9,,2014-01-02T05:29:31,2014-01-02T18:00:24,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/3/2014,86.1,69.3,78.8,97.2,69.3,82.9,73.8,85.5,2.572,100,8.33,rain,,,,9.2,283.3,1008.8,71.9,4.3,236.4,20.6,8,,2014-01-03T05:30:02,2014-01-03T18:00:48,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/4/2014,87.8,69.7,78.4,97.8,69.7,81.2,73.9,86.7,0.315,100,12.5,rain,,,,13.9,270.4,1008.1,79.4,4.1,201.1,17.4,7,,2014-01-04T05:30:33,2014-01-04T18:01:12,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/5/2014,86,70.6,80,95.2,70.6,84.2,74.3,83.6,0.071,100,8.33,rain,,,,10.3,261.3,1007,66,4.5,196.6,16.9,7,,2014-01-05T05:31:04,2014-01-05T18:01:35,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/6/2014,85.7,67.6,76,95.5,67.6,77.6,72.3,88.8,1.88,100,12.5,rain,,,,17.9,263.5,1007.9,85.9,4.5,184.7,16,7,,2014-01-06T05:31:35,2014-01-06T18:01:58,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/7/2014,85.8,67.9,75.1,95,67.9,76.8,70.8,87.1,0.088,100,8.33,rain,,,,9.5,286,1008.8,88.4,5.1,156.2,13.4,6,,2014-01-07T05:32:05,2014-01-07T18:02:19,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96837099999,WARS,remote,96797099999,96839099999"
papua tengah ,1/8/2014,86.9,68.8,76.1,97.4,68.8,77.5,71.8,87.3,0.658,100,20.83,rain,,,,9,215.6,1009.8,81.6,4.5,232.5,20,8,,2014-01-08T05:32:35,2014-01-08T18:02:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96837099999,remote,96797099999,96839099999"
papua tengah ,1/9/2014,87.4,70.4,76.5,96.3,70.4,78.1,72,87,0.022,100,4.17,rain,,,,8.3,226,1009.5,75.1,5.2,192,16.5,6,,2014-01-09T05:33:05,2014-01-09T18:03:01,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96837099999,remote,96797099999,96839099999"
papua tengah ,1/10/2014,84.8,70.4,76.4,93.6,70.4,77.9,71.8,86.4,0.112,100,29.17,rain,,,,6.9,238.1,1009,82.9,4.8,121.7,10.7,4,,2014-01-10T05:33:35,2014-01-10T18:03:20,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96837099999,remote,96797099999,96839099999"
papua tengah ,1/11/2014,87.4,69.9,77.2,98.4,69.9,79.5,71.8,84.3,0.089,100,4.17,rain,,,,9.9,50.5,1009.7,80.9,5.3,214.7,18.7,8,,2014-01-11T05:34:05,2014-01-11T18:03:39,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96837099999,remote,96797099999,96839099999"
