name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sulawesi selatan,2014-01-01,31.0,24.0,25.4,44.3,24.0,27.0,24.8,97.0,37.481,100,20.83,rain,,,,29.5,353.9,1010.7,57.4,8.0,145.3,12.4,5,,2014-01-01T05:53:17,2014-01-01T18:18:06,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-02,27.0,24.0,25.0,31.8,24.0,25.4,24.8,98.4,28.314,100,25.0,rain,,,,16.1,358.5,1010.7,65.8,7.9,114.0,9.7,4,,2014-01-02T05:53:47,2014-01-02T18:18:32,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-03,29.0,24.0,25.9,39.7,24.0,28.3,25.6,98.2,34.901,100,16.67,rain,,,,17.9,8.0,1009.9,60.1,7.9,103.2,8.9,4,,2014-01-03T05:54:18,2014-01-03T18:18:57,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-04,30.4,24.0,26.1,44.2,24.0,28.8,25.6,97.5,24.676,100,16.67,rain,,,,16.6,40.2,1009.3,54.8,7.8,221.9,19.2,8,,2014-01-04T05:54:48,2014-01-04T18:19:21,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-05,30.0,24.0,26.6,44.2,24.0,30.4,25.9,96.2,1.441,100,4.17,rain,,,,18.5,19.9,1008.9,40.1,8.9,151.2,13.1,5,,2014-01-05T05:55:18,2014-01-05T18:19:46,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-06,30.0,24.0,26.3,44.2,24.0,29.1,25.5,95.8,3.729,100,12.5,rain,,,,16.6,353.0,1008.9,47.5,8.6,132.7,11.5,4,,2014-01-06T05:55:47,2014-01-06T18:20:09,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-07,29.0,24.0,26.3,39.7,24.0,29.3,25.8,97.0,33.859,100,16.67,rain,,,,22.4,358.5,1009.6,50.1,8.6,176.7,15.2,6,,2014-01-07T05:56:17,2014-01-07T18:20:32,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-08,31.0,23.0,27.0,49.0,23.0,30.9,25.3,91.0,1.559,100,8.33,rain,,,,14.8,346.4,1009.1,45.5,9.6,169.2,14.7,6,,2014-01-08T05:56:46,2014-01-08T18:20:54,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-09,31.0,23.9,26.4,37.7,23.9,28.6,24.3,88.8,20.96,100,12.5,rain,,,,18.4,344.3,1009.2,55.1,8.8,178.6,15.4,6,,2014-01-09T05:57:15,2014-01-09T18:21:15,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999,remote"
Sulawesi selatan,2014-01-10,30.0,24.0,26.2,36.2,24.0,27.8,24.2,89.6,39.043,100,16.67,rain,,,,23.3,351.7,1009.5,58.4,8.2,138.4,11.9,5,,2014-01-10T05:57:43,2014-01-10T18:21:36,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999,remote"
Sulawesi selatan,2014-01-11,31.0,24.0,27.1,36.6,24.0,29.4,23.9,84.1,14.402,100,12.5,rain,,,,18.0,13.7,1010.5,52.5,8.7,172.8,15.0,6,,2014-01-11T05:58:11,2014-01-11T18:21:56,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAAA,97182099999,97180099999,remote"
Sulawesi selatan,2014-01-12,31.0,24.0,27.3,39.1,24.0,29.9,24.3,84.5,2.527,100,12.5,rain,,,,27.1,328.0,1010.3,52.3,8.9,161.5,13.9,5,,2014-01-12T05:58:39,2014-01-12T18:22:15,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999,remote"
Sulawesi selatan,2014-01-13,30.0,24.0,26.7,36.2,24.0,29.5,25.0,91.2,73.23,100,20.83,rain,,,,24.1,155.9,1009.4,62.6,8.1,166.6,14.5,6,,2014-01-13T05:59:06,2014-01-13T18:22:34,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999,remote"
Sulawesi selatan,2014-01-14,28.0,25.0,26.2,32.7,25.0,27.3,24.9,92.9,22.284,100,29.17,rain,,,,16.6,87.2,1008.6,65.6,7.6,137.4,11.6,5,,2014-01-14T05:59:33,2014-01-14T18:22:52,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-15,29.0,25.0,26.7,32.7,25.0,28.8,24.3,86.9,25.221,100,29.17,rain,,,,31.5,277.1,1008.7,75.1,6.9,139.4,12.0,5,,2014-01-15T06:00:00,2014-01-15T18:23:09,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-16,28.0,23.0,25.3,32.3,23.0,26.4,23.8,91.4,96.363,100,29.17,rain,,,37.1,25.9,293.5,1009.8,69.8,5.9,145.4,12.4,5,,2014-01-16T06:00:25,2014-01-16T18:23:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-17,30.0,16.9,26.5,36.2,16.9,29.0,24.4,87.7,1.901,100,12.5,rain,,,,22.3,314.8,1009.6,57.6,8.4,166.7,14.5,6,,2014-01-17T06:00:51,2014-01-17T18:23:40,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-18,30.0,23.0,26.1,37.4,23.0,27.9,24.5,90.9,41.093,100,33.33,rain,,,57.2,25.2,342.1,1010.7,57.2,7.6,227.6,19.9,8,,2014-01-18T06:01:16,2014-01-18T18:23:54,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999,remote"
Sulawesi selatan,2014-01-19,31.0,24.9,26.9,37.7,24.9,29.5,24.7,88.3,10.117,100,12.5,rain,,,,32.4,304.1,1010.3,51.6,8.0,194.8,16.9,6,,2014-01-19T06:01:40,2014-01-19T18:24:08,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-20,30.0,24.8,26.8,36.2,24.8,29.1,24.8,89.2,26.598,100,16.67,rain,,,,30.4,345.6,1009.6,51.4,7.7,114.6,10.1,4,,2014-01-20T06:02:04,2014-01-20T18:24:20,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-21,30.0,24.0,26.8,37.4,24.0,29.3,24.6,88.1,13.082,100,25.0,rain,,,,21.6,350.8,1009.2,62.4,8.5,167.3,14.5,7,,2014-01-21T06:02:27,2014-01-21T18:24:32,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-22,30.0,24.0,25.6,35.3,24.0,26.4,24.0,90.9,13.285,100,16.67,rain,,,,22.3,53.6,1010.2,50.3,7.7,185.3,16.1,7,,2014-01-22T06:02:49,2014-01-22T18:24:43,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-23,29.0,24.0,25.2,38.2,24.0,26.3,24.1,93.9,37.417,100,20.83,rain,,,,17.3,97.2,1010.2,57.5,7.6,193.0,16.6,7,,2014-01-23T06:03:11,2014-01-23T18:24:53,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-24,25.1,22.9,23.9,25.1,22.9,23.9,22.7,93.1,86.866,100,29.17,rain,,,,18.4,85.4,1010.4,64.4,6.2,139.7,12.0,5,,2014-01-24T06:03:32,2014-01-24T18:25:02,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-25,30.1,22.9,26.1,40.4,22.9,28.7,24.0,88.6,1.299,100,8.33,rain,,,,25.2,74.0,1010.3,53.1,8.4,210.7,18.2,8,,2014-01-25T06:03:53,2014-01-25T18:25:10,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-26,31.0,24.0,26.3,37.1,24.0,28.0,24.0,87.8,25.137,100,20.83,rain,,,,14.8,238.7,1010.1,55.1,7.9,227.5,19.7,8,,2014-01-26T06:04:13,2014-01-26T18:25:17,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAAA,97182099999,97180099999"
Sulawesi selatan,2014-01-27,31.0,24.0,27.2,37.7,24.0,30.2,24.6,86.2,13.699,100,8.33,rain,,,,24.1,311.2,1009.7,59.5,8.1,170.8,14.8,6,,2014-01-27T06:04:32,2014-01-27T18:25:24,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAAA,97182099999,97180099999"
