name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sulawesi utara,2014-01-01,30.8,22.4,26.0,36.4,22.4,26.5,23.4,85.5,1.896,100,8.33,rain,,,,14.0,46.0,1010.3,78.7,9.6,102.7,9.0,4,,2014-01-01T05:42:55,2014-01-01T17:45:07,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-02,29.5,23.2,26.5,35.0,23.2,28.2,23.1,81.6,7.666,100,12.5,rain,,,,11.5,38.4,1010.6,82.1,8.9,150.4,13.0,5,,2014-01-02T05:43:23,2014-01-02T17:45:36,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-03,30.3,23.6,26.9,35.3,23.6,28.7,23.6,82.4,2.8,100,66.67,rain,,,,18.7,0.6,1010.1,81.0,9.7,167.2,14.5,6,,2014-01-03T05:43:50,2014-01-03T17:46:04,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-04,29.5,22.9,26.8,34.5,22.9,28.5,23.1,80.8,1.832,100,4.17,rain,,,,16.2,339.0,1009.5,68.4,9.4,222.2,19.1,8,,2014-01-04T05:44:17,2014-01-04T17:46:32,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-05,30.9,23.5,27.2,36.7,23.5,29.4,23.4,80.1,0.4,100,16.67,rain,,,,14.0,330.6,1009.4,71.9,10.0,225.3,19.4,8,,2014-01-05T05:44:44,2014-01-05T17:47:00,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-06,30.6,23.2,26.9,35.4,23.2,28.7,23.3,81.2,2.925,100,8.33,rain,,,,15.5,335.8,1009.4,79.9,9.5,160.2,14.0,6,,2014-01-06T05:45:10,2014-01-06T17:47:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-07,29.8,23.5,26.2,34.7,23.5,27.1,23.4,84.9,43.487,100,20.83,rain,,,,26.6,317.1,1010.1,85.9,8.4,120.1,10.5,4,,2014-01-07T05:45:35,2014-01-07T17:47:54,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-08,29.4,23.3,26.3,33.6,23.3,27.5,22.9,81.7,42.719,100,16.67,rain,,,,16.6,305.9,1009.9,79.2,8.5,154.2,13.3,6,,2014-01-08T05:46:00,2014-01-08T17:48:20,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-09,29.4,22.9,26.3,33.4,22.9,27.5,22.9,81.8,56.795,100,20.83,rain,,,,23.0,298.9,1010.2,84.1,7.4,160.8,13.9,6,,2014-01-09T05:46:24,2014-01-09T17:48:46,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-10,28.0,23.1,25.9,31.2,23.1,26.3,22.7,82.9,32.007,100,25.0,rain,,,,24.8,302.5,1010.4,90.4,8.2,133.5,11.5,5,,2014-01-10T05:46:48,2014-01-10T17:49:12,0.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-11,28.4,23.7,26.2,32.0,23.7,27.4,23.1,83.2,13.507,100,20.83,rain,,,,18.0,286.0,1009.2,85.0,8.1,160.4,13.7,6,,2014-01-11T05:47:12,2014-01-11T17:49:37,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97014099999,97016099999,remote"
sulawesi utara,2014-01-12,28.7,24.2,26.7,32.7,24.2,28.4,23.5,83.1,38.503,100,29.17,rain,,,,27.0,253.8,1008.3,83.4,8.4,201.5,17.4,7,,2014-01-12T05:47:34,2014-01-12T17:50:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97014099999,WAMM,97016099999,remote"
