name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sumatera utara,1/1/2014,86,69,77,97.1,69,80.5,73.2,88.9,0,0,0,,,,,10.3,92.5,1009.6,80,2.8,115.9,10,4,,2014-01-01T06:31:12,2014-01-01T18:26:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/2/2014,89.4,69.3,79.6,99.8,69.3,84.5,74.6,86,0,0,0,,,,,16.1,91.1,1009.6,68.4,3.1,110.4,9.5,4,,2014-01-02T06:31:39,2014-01-02T18:26:44,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/3/2014,80.6,68.6,76.7,87,68.6,77.4,74.6,93.4,0.124,100,8.33,rain,,,,8.1,302.9,1011.1,78.8,2.8,108.8,9.5,4,,2014-01-03T06:32:05,2014-01-03T18:27:13,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/4/2014,80.6,66.3,77.3,87,66.3,78.8,74.3,90.9,0.238,100,8.33,rain,,,,12.8,295.6,1011,69,3.5,165.3,14.2,6,,2014-01-04T06:32:31,2014-01-04T18:27:42,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/5/2014,86,66.5,77.9,97.1,66.5,80.5,73.9,88.1,0.004,100,4.17,rain,,,,5.8,316.8,1009.5,49.8,3,168.1,14.3,6,,2014-01-05T06:32:56,2014-01-05T18:28:11,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/6/2014,86,66.5,78.1,94.3,66.5,81,73.1,85.4,0.02,100,12.5,rain,,,,10.3,318,1009.1,50.3,3,183.4,15.9,7,,2014-01-06T06:33:21,2014-01-06T18:28:39,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/7/2014,82.9,67.2,77.3,90.2,67.2,79.7,72.9,86.8,0.071,100,12.5,rain,,,,11.4,283.8,1009.7,65.2,3,125.6,10.9,5,,2014-01-07T06:33:45,2014-01-07T18:29:08,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/8/2014,86.3,65.7,79.1,95.3,65.7,82.3,73.9,85.1,0.008,100,4.17,rain,,,,9.2,303.8,1009.9,59.2,2.6,169.1,14.5,7,,2014-01-08T06:34:09,2014-01-08T18:29:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/9/2014,78.8,74.8,76,78.8,74.8,76,72.9,90.1,0.077,100,4.17,rain,,,,11.4,226.1,1009.8,47.1,2.5,145.1,12.6,6,,2014-01-09T06:34:31,2014-01-09T18:30:03,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96033099999,96035099999,WIMM"
sumatera utara,1/10/2014,80.6,66.8,76.3,86.5,66.8,77,73.5,91.4,0.513,100,12.5,rain,,,,8.1,302.4,1010.6,70.8,2.8,81,7,4,,2014-01-10T06:34:54,2014-01-10T18:30:30,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM,remote"
sumatera utara,1/11/2014,84,66.8,77.5,93.5,66.8,80.4,74.2,90.1,0.024,100,16.67,rain,,,,10.3,308.7,1011.1,77,3,145.9,12.5,6,,2014-01-11T06:35:15,2014-01-11T18:30:56,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM,remote"
