name,mae_temp,mae_humidity,mae_cloudcover,mae_sealevelpressure,mae_windspeed,mae_precip
ACEH,0.839,3.745,10.001,1.028,5.579,3.956
BALI,0.651,3.213,9.206,1.151,4.889,6.011
BANGKA BELITUNG,0.581,3.122,10.338,1.016,4.034,8.64
BANTEN,0.64,4.2,7.171,1.028,4.63,6.189
BENGKULU,0.533,2.697,11.313,0.995,4.459,12.674
GORONTALO,0.501,3.324,12.52,0.992,3.481,3.655
JAKARTA,0.673,4.341,6.344,1.027,4.605,8.063
JAMBI,0.62,3.276,8.994,0.912,2.764,5.381
JAWA BARAT,0.561,3.857,11.666,1.006,4.352,8.299
JAWA TENGAH,0.771,4.056,9.189,1.07,3.153,4.741
JAWA TIMUR,0.841,4.161,10.186,1.027,3.271,4.85
KALIMANTAN BARAT,0.678,4.035,10.951,1.009,4.615,10.727
KALIMANTAN SELATAN,0.745,4.116,11.003,1.028,4.4,8.653
KALIMANTAN TENGAH,0.701,4.057,9.917,1.026,3.003,3.859
KALIMANTAN TIMUR,0.616,3.11,10.355,0.986,2.94,5.774
KALIMANTAN UTARA,0.565,2.581,10.214,1.021,3.943,9.743
KEPULAUAN RIAU,0.668,3.675,6.384,1.052,3.911,7.545
LAMPUNG,0.563,3.327,11.068,0.926,2.866,3.35
MALUKU UTARA,0.501,2.829,12.108,1.013,3.842,7.703
MALUKU,0.595,3.113,9.825,1.063,4.751,12.701
NUSA TENGGARA BARAT,0.717,3.327,10.209,1.102,3.59,5.919
NUSA TENGGARA TIMUR,0.822,4.089,13.422,1.105,6.578,5.33
PAPUA BARAT DAYA,0.648,4.346,5.887,1.032,4.42,5.836
PAPUA BARAT,0.463,2.45,11.153,1.013,3.929,7.867
PAPUA PEGUNUNGAN,0.577,3.155,7.713,1.006,1.101,3.89
PAPUA SELATAN,0.754,5.554,6.224,1.002,2.759,8.535
PAPUA TENGAH,0.895,3.952,9.029,1.086,3.573,5.631
PAPUA,0.695,3.686,7.819,1.056,5.212,8.074
RIAU,0.696,4.024,9.927,1.093,2.603,0.398
SULAWESI BARAT,0.626,3.22,9.089,0.978,3.001,5.51
SULAWESI SELATAN,0.752,5.614,6.35,1.007,3.004,10.344
SULAWESI TENGAH,0.646,3.007,9.176,0.988,4.637,4.137
SULAWESI TENGGARA,0.614,3.701,13.202,1.004,3.455,4.898
SULAWESI UTARA,0.688,4.782,6.395,1.012,3.708,10.492
SUMATERA BARAT,0.57,3.293,11.683,0.952,3.883,9.343
SUMATERA SELATAN,0.691,3.908,9.218,1.035,3.782,4.181
SUMATERA UTARA,0.629,2.897,9.118,1.073,3.559,2.64
YOGYAKARTA,0.842,3.468,14.634,1.127,3.64,4.87
