name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.036,0.052,0.158,0.001,0.374,1435863959239169.0
BALI,0.028,0.041,0.211,0.001,0.235,3474748921995393.0
BANGKA BELITUNG,0.022,0.043,0.149,0.001,0.268,4037158100256048.5
BANTEN,0.025,0.057,0.145,0.001,0.299,5892364460961978.0
BENGKULU,0.021,0.033,0.206,0.001,0.235,3599125737141684.5
GORONTALO,0.019,0.044,0.223,0.001,0.289,1126568058919010.8
JAKARTA,0.026,0.063,0.132,0.001,0.232,6963787856034050.0
JAMBI,0.025,0.042,0.141,0.001,0.287,3203227680348850.5
JAWA BARAT,0.025,0.057,0.226,0.001,0.286,2911916972947666.0
JAWA TENGAH,0.029,0.081,0.179,0.001,0.248,4091632816612228.5
JAWA TIMUR,0.032,0.066,0.258,0.001,0.197,2862491925053783.0
KALIMANTAN BARAT,0.027,0.053,0.184,0.001,0.294,9442683806239932.0
KALIMANTAN SELATAN,0.028,0.053,0.223,0.001,0.227,9069684589384588.0
KALIMANTAN TENGAH,0.026,0.054,0.163,0.001,0.31,1799218443078943.8
KALIMANTAN TIMUR,0.025,0.037,0.172,0.001,0.286,2341046616575022.0
KALIMANTAN UTARA,0.024,0.032,0.163,0.001,0.261,1664732070711037.5
KEPULAUAN RIAU,0.027,0.046,0.106,0.001,0.26,8035431798253702.0
LAMPUNG,0.023,0.045,0.216,0.001,0.277,1267018149777349.8
MALUKU UTARA,0.023,0.044,0.2,0.001,0.254,2487910438055733.0
MALUKU,0.034,0.04,0.164,0.001,0.234,9375574306954926.0
NUSA TENGGARA BARAT,0.035,0.044,0.213,0.001,0.207,1.0331477970086252e+16
NUSA TENGGARA TIMUR,0.033,0.065,0.376,0.002,0.34,2928948892544760.0
PAPUA BARAT DAYA,0.026,0.063,0.123,0.001,0.269,5660660843191545.0
PAPUA BARAT,0.017,0.033,0.179,0.001,0.253,630283011014473.2
PAPUA PEGUNUNGAN,0.041,0.039,0.128,0.001,0.264,774869143593480.4
PAPUA SELATAN,0.028,0.088,0.174,0.001,0.289,1.1010900575979022e+16
PAPUA TENGAH,0.034,0.065,0.179,0.001,0.209,3483402788142768.0
PAPUA,0.026,0.047,0.159,0.001,0.278,6517804156362343.0
RIAU,0.028,0.049,0.157,0.001,0.3,371498825057922.9
SULAWESI BARAT,0.024,0.043,0.16,0.001,0.351,1422813805957813.5
SULAWESI SELATAN,0.028,0.09,0.171,0.001,0.195,8074085377003841.0
SULAWESI TENGAH,0.033,0.037,0.147,0.001,0.257,1230975220482813.2
SULAWESI TENGGARA,0.033,0.051,0.269,0.001,0.294,2105354360062856.2
SULAWESI UTARA,0.026,0.069,0.162,0.001,0.255,8739970199825047.0
SUMATERA BARAT,0.022,0.045,0.222,0.001,0.246,4067096633954807.0
SUMATERA SELATAN,0.027,0.052,0.16,0.001,0.302,3570309716450245.0
SUMATERA UTARA,0.026,0.035,0.164,0.001,0.28,3079212570756460.0
YOGYAKARTA,0.034,0.05,0.438,0.001,0.308,3046015257153210.5
