name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.034,0.048,0.157,0.001,0.32,1776179335310622.0
BALI,0.027,0.041,0.204,0.001,0.242,1296696328602074.2
BANGKA BELITUNG,0.022,0.04,0.148,0.001,0.252,4395993734128844.5
BANTEN,0.023,0.054,0.138,0.001,0.246,5451682547358256.0
BENGKULU,0.02,0.033,0.188,0.001,0.225,3306732621600639.0
GORONTALO,0.019,0.043,0.221,0.001,0.263,1093096680541552.4
JAKARTA,0.024,0.059,0.128,0.001,0.258,4846628468708267.0
JAMBI,0.023,0.041,0.137,0.001,0.282,2679317281637835.0
JAWA BARAT,0.025,0.056,0.199,0.001,0.27,2833620508290416.5
JAWA TENGAH,0.028,0.065,0.19,0.001,0.226,4322589369144419.5
JAWA TIMUR,0.031,0.06,0.271,0.001,0.191,2213902449662756.0
KALIMANTAN BARAT,0.026,0.052,0.184,0.001,0.29,8777958092721071.0
KALIMANTAN SELATAN,0.028,0.052,0.227,0.001,0.245,8424351552888244.0
KALIMANTAN TENGAH,0.026,0.052,0.16,0.001,0.354,1823958877336087.0
KALIMANTAN TIMUR,0.023,0.037,0.169,0.001,0.275,1959678680914167.0
KALIMANTAN UTARA,0.021,0.032,0.161,0.001,0.263,1825264563918829.8
KEPULAUAN RIAU,0.025,0.045,0.104,0.001,0.261,8514759950128215.0
LAMPUNG,0.023,0.043,0.199,0.001,0.269,964982345451935.9
MALUKU UTARA,0.019,0.037,0.199,0.001,0.24,2382426520116636.0
MALUKU,0.026,0.038,0.165,0.001,0.243,7729666797624086.0
NUSA TENGGARA BARAT,0.029,0.043,0.204,0.001,0.191,1.0612495698888094e+16
NUSA TENGGARA TIMUR,0.031,0.058,0.357,0.001,0.327,3796875817432077.5
PAPUA BARAT DAYA,0.024,0.061,0.123,0.001,0.268,4868474882808111.0
PAPUA BARAT,0.017,0.032,0.175,0.001,0.261,624798052771368.1
PAPUA PEGUNUNGAN,0.037,0.039,0.121,0.001,0.265,823410943349069.9
PAPUA SELATAN,0.028,0.085,0.171,0.001,0.235,8652200796720082.0
PAPUA TENGAH,0.034,0.059,0.166,0.001,0.2,4469219213964163.5
PAPUA,0.025,0.047,0.164,0.001,0.273,6230830725503889.0
RIAU,0.026,0.048,0.156,0.001,0.285,362878959728970.4
SULAWESI BARAT,0.024,0.04,0.159,0.001,0.323,1526689340901113.2
SULAWESI SELATAN,0.028,0.084,0.169,0.001,0.18,1.5590529398525066e+16
SULAWESI TENGAH,0.027,0.037,0.144,0.001,0.26,1135732890017492.5
SULAWESI TENGGARA,0.025,0.048,0.274,0.001,0.31,1950116293531541.5
SULAWESI UTARA,0.026,0.062,0.158,0.001,0.254,1.0440484753542534e+16
SUMATERA BARAT,0.022,0.044,0.201,0.001,0.264,4045576958838802.0
SUMATERA SELATAN,0.026,0.05,0.152,0.001,0.282,4698863340544968.0
SUMATERA UTARA,0.024,0.035,0.16,0.001,0.241,2598995032081601.5
YOGYAKARTA,0.033,0.048,0.388,0.001,0.278,2905483445738057.5
