name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,1.179,22.23,185.021,1.785,71.099,87.326
BALI,0.825,17.342,143.297,2.13,43.623,145.931
BANGKA BELITUNG,0.544,16.603,155.016,1.633,35.859,221.392
BANTEN,0.691,27.859,83.146,1.677,32.555,172.199
BENGKULU,0.483,12.039,207.49,1.529,45.518,431.905
GORONTALO,0.389,18.735,236.424,1.608,34.671,67.263
JAKARTA,0.737,31.751,68.394,1.687,65.054,312.425
JAMBI,0.65,19.084,148.56,1.533,13.839,106.786
JAWA BARAT,0.52,32.982,182.642,1.579,43.42,213.415
JAWA TENGAH,0.997,32.631,144.735,1.82,19.989,76.917
JAWA TIMUR,1.119,29.195,193.057,1.732,19.845,110.982
KALIMANTAN BARAT,0.746,30.58,205.735,1.598,56.856,251.906
KALIMANTAN SELATAN,0.882,25.728,199.375,1.718,44.335,202.643
KALIMANTAN TENGAH,0.789,30.655,149.994,1.687,21.841,72.267
KALIMANTAN TIMUR,0.62,16.556,192.032,1.576,33.639,60.6
KALIMANTAN UTARA,0.51,12.041,168.896,1.742,43.687,249.207
KEPULAUAN RIAU,0.713,20.302,64.571,1.682,37.717,335.072
LAMPUNG,0.544,18.958,224.132,1.481,13.308,62.183
MALUKU UTARA,0.415,14.412,229.519,1.681,25.524,173.329
MALUKU,0.623,15.692,155.592,1.766,105.05,491.72
NUSA TENGGARA BARAT,1.118,17.764,162.216,2.025,24.681,147.159
NUSA TENGGARA TIMUR,1.278,29.28,277.619,2.051,225.045,123.452
PAPUA BARAT DAYA,0.689,30.903,58.006,1.674,57.267,88.635
PAPUA BARAT,0.322,9.838,204.916,1.62,29.252,194.182
PAPUA PEGUNUNGAN,0.756,18.956,113.4,1.675,1.975,50.419
PAPUA SELATAN,0.918,64.998,70.766,1.678,15.925,216.892
PAPUA TENGAH,1.399,27.932,138.738,1.885,19.907,86.468
PAPUA,0.752,21.013,133.011,1.725,71.898,205.541
RIAU,0.789,25.244,161.891,1.857,18.961,0.463
SULAWESI BARAT,0.613,17.835,155.684,1.595,23.338,98.833
SULAWESI SELATAN,0.897,63.245,72.573,1.682,15.857,294.707
SULAWESI TENGAH,0.66,15.104,145.858,1.585,36.216,45.032
SULAWESI TENGGARA,0.568,25.698,289.23,1.647,20.794,56.827
SULAWESI UTARA,0.751,36.839,66.195,1.695,29.53,263.179
SUMATERA BARAT,0.527,19.151,230.069,1.43,29.991,287.145
SUMATERA SELATAN,0.764,23.672,146.187,1.643,67.079,74.177
SUMATERA UTARA,0.673,13.162,138.736,1.825,52.754,38.512
YOGYAKARTA,1.195,19.24,341.58,2.024,22.965,52.556
