name,mae_temp,mae_humidity,mae_cloudcover,mae_sealevelpressure,mae_windspeed,mae_precip
ACEH,0.883,3.8,10.336,1.045,5.289,4.051
BALI,0.754,3.273,9.242,1.186,5.146,5.597
BANGKA BELITUNG,0.579,3.259,10.737,1.027,3.949,9.048
BANTEN,0.641,4.173,7.321,1.057,4.701,6.392
BENGKULU,0.544,2.722,11.551,1.004,4.505,11.508
GORONTALO,0.502,3.475,12.923,1.051,3.542,3.327
JAKARTA,0.682,4.427,6.571,1.063,4.976,7.479
JAMBI,0.625,3.399,9.686,0.935,2.757,5.88
JAWA BARAT,0.574,4.419,11.698,1.043,4.513,8.189
JAWA TENGAH,0.782,4.722,10.5,1.101,3.716,4.654
JAWA TIMUR,0.856,4.448,11.222,1.1,3.238,4.531
KALIMANTAN BARAT,0.697,4.128,11.537,1.019,4.679,10.468
KALIMANTAN SELATAN,0.763,4.189,11.44,1.045,4.093,8.689
KALIMANTAN TENGAH,0.7,4.142,10.749,1.067,3.275,4.163
KALIMANTAN TIMUR,0.622,3.114,11.298,0.999,3.107,5.882
KALIMANTAN UTARA,0.567,2.75,10.481,1.028,4.069,9.947
KEPULAUAN RIAU,0.682,3.641,6.63,1.053,4.153,8.181
LAMPUNG,0.598,3.443,11.975,0.981,2.944,3.266
MALUKU UTARA,0.51,2.979,12.231,1.036,3.902,7.434
MALUKU,0.703,3.161,10.024,1.068,4.844,12.142
NUSA TENGGARA BARAT,0.773,3.454,10.632,1.151,3.81,6.789
NUSA TENGGARA TIMUR,0.837,4.452,14.074,1.116,7.003,5.545
PAPUA BARAT DAYA,0.651,4.705,6.217,1.062,4.677,5.906
PAPUA BARAT,0.455,2.546,11.888,1.064,3.953,7.824
PAPUA PEGUNUNGAN,0.788,3.458,9.421,1.036,1.109,3.841
PAPUA SELATAN,0.752,6.322,6.684,1.043,3.136,7.85
PAPUA TENGAH,0.913,4.389,9.445,1.13,3.417,6.632
PAPUA,0.688,3.708,8.707,1.065,4.934,8.226
RIAU,0.703,3.924,9.894,1.107,2.647,0.387
SULAWESI BARAT,0.633,3.201,10.444,1.04,3.539,5.928
SULAWESI SELATAN,0.748,6.231,6.652,1.043,3.059,11.147
SULAWESI TENGAH,0.663,3.061,9.912,1.016,4.732,4.086
SULAWESI TENGGARA,0.665,3.878,14.363,1.048,3.375,5.068
SULAWESI UTARA,0.687,4.827,6.949,1.027,3.893,10.303
SUMATERA BARAT,0.586,3.442,11.844,0.958,4.002,8.869
SUMATERA SELATAN,0.713,4.017,9.309,1.044,3.835,4.861
SUMATERA UTARA,0.641,2.942,9.349,1.068,3.539,2.478
YOGYAKARTA,0.863,3.823,15.213,1.197,3.665,4.92
