name,mae_precip
ACEH,5.078
BALI,5.284
BANGKA BELITUNG,8.299
BANTEN,5.985
BENGKULU,11.722
GORONTALO,3.686
JAKARTA,8.474
JAMBI,5.54
JAWA BARAT,8.465
JAWA TENGAH,5.113
JAWA TIMUR,4.612
KALIMANTAN BARAT,10.268
KALIMANTAN SELATAN,8.933
KALIMANTAN TENGAH,3.771
KALIMANTAN TIMUR,5.854
KALIMANTAN UTARA,11.273
KEPULAUAN RIAU,7.971
LAMPUNG,2.623
MALUKU UTARA,7.667
MALUKU,12.112
NUSA TENGGARA BARAT,6.655
NUSA TENGGARA TIMUR,6.501
PAPUA BARAT DAYA,5.805
PAPUA BARAT,7.428
PAPUA PEGUNUNGAN,3.911
PAPUA SELATAN,7.58
PAPUA TENGAH,5.388
PAPUA,8.763
RIAU,0.401
SULAWESI BARAT,5.848
SULAWESI SELATAN,9.848
SULAWESI TENGAH,4.486
SULAWESI TENGGARA,4.999
SULAWESI UTARA,10.422
SUMATERA BARAT,9.175
SUMATERA SELATAN,4.295
SUMATERA UTARA,2.396
YOGYAKARTA,4.669
