name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.03,0.042,0.154,0.001,0.363,2065741973728904.5
BALI,0.022,0.039,0.198,0.001,0.207,2360445846890571.0
BANGKA BELITUNG,0.021,0.036,0.129,0.001,0.242,3576219599138122.0
BANTEN,0.023,0.047,0.133,0.001,0.249,3879430230240334.5
BENGKULU,0.019,0.032,0.176,0.001,0.231,3473920834968095.5
GORONTALO,0.017,0.038,0.211,0.001,0.235,719824756168058.5
JAKARTA,0.024,0.054,0.122,0.001,0.235,5318721363157410.0
JAMBI,0.023,0.038,0.124,0.001,0.256,2207958764209665.8
JAWA BARAT,0.023,0.047,0.169,0.001,0.256,2335725692271415.0
JAWA TENGAH,0.028,0.052,0.155,0.001,0.181,3168588302500301.0
JAWA TIMUR,0.03,0.05,0.242,0.001,0.207,1814863411235500.8
KALIMANTAN BARAT,0.025,0.044,0.14,0.001,0.277,1.0538114419371902e+16
KALIMANTAN SELATAN,0.027,0.049,0.216,0.001,0.241,6986357765799000.0
KALIMANTAN TENGAH,0.026,0.047,0.138,0.001,0.312,1394686841076811.5
KALIMANTAN TIMUR,0.023,0.036,0.154,0.001,0.266,1894003343036895.8
KALIMANTAN UTARA,0.021,0.03,0.158,0.001,0.285,1746711882943471.2
KEPULAUAN RIAU,0.024,0.044,0.1,0.001,0.238,7967645681650769.0
LAMPUNG,0.02,0.039,0.172,0.001,0.249,532366366407009.6
MALUKU UTARA,0.017,0.034,0.194,0.001,0.244,3086510453179950.5
MALUKU,0.022,0.037,0.161,0.001,0.221,6838138150893092.0
NUSA TENGGARA BARAT,0.026,0.039,0.18,0.001,0.183,8226894630716067.0
NUSA TENGGARA TIMUR,0.03,0.054,0.321,0.001,0.31,2812344489181329.0
PAPUA BARAT DAYA,0.023,0.055,0.115,0.001,0.236,5455462836946370.0
PAPUA BARAT,0.017,0.029,0.164,0.001,0.263,546966330492530.25
PAPUA PEGUNUNGAN,0.027,0.036,0.101,0.001,0.239,123649881614952.83
PAPUA SELATAN,0.028,0.069,0.151,0.001,0.206,1.011835327770213e+16
PAPUA TENGAH,0.034,0.05,0.154,0.001,0.185,2098651257005832.0
PAPUA,0.025,0.045,0.151,0.001,0.265,5776917129352576.0
RIAU,0.026,0.048,0.151,0.001,0.273,400505778385572.25
SULAWESI BARAT,0.022,0.038,0.133,0.001,0.23,2136578183656310.0
SULAWESI SELATAN,0.028,0.067,0.16,0.001,0.169,1.2860268739185038e+16
SULAWESI TENGAH,0.026,0.036,0.133,0.001,0.251,1356372988574111.2
SULAWESI TENGGARA,0.021,0.043,0.246,0.001,0.292,1544507894203718.2
SULAWESI UTARA,0.025,0.06,0.137,0.001,0.238,9838167911323366.0
SUMATERA BARAT,0.021,0.041,0.195,0.001,0.257,4079936153725990.0
SUMATERA SELATAN,0.025,0.046,0.152,0.001,0.256,2877662831105637.5
SUMATERA UTARA,0.023,0.033,0.15,0.001,0.226,2489432281154072.0
YOGYAKARTA,0.03,0.042,0.366,0.001,0.252,2105413801389137.2
