name,mape_precip
ACEH,2525202239669744.0
BALI,1194871996260904.0
BANGKA BELITUNG,3132239649331449.0
BANTEN,4111116317492434.0
BENGKULU,3417525456957017.0
GORONTALO,1349585475785978.5
JAKARTA,6905320977445283.0
JAMBI,2314021527819112.0
JAWA BARAT,2885723835991898.5
JAWA TENGAH,4592846281262147.0
JAWA TIMUR,2520168540523408.5
KALIMANTAN BARAT,7845579711103678.0
KALIMANTAN SELATAN,8768707530760298.0
KALIMANTAN TENGAH,1427628133376945.2
KALIMANTAN TIMUR,1935266935808865.8
KALIMANTAN UTARA,2286601769171662.5
KEPULAUAN RIAU,8103799623371838.0
LAMPUNG,372227235271163.0
MALUKU UTARA,2669278278840678.5
MALUKU,7588431114085581.0
NUSA TENGGARA BARAT,9664036604023156.0
NUSA TENGGARA TIMUR,5812609732383390.0
PAPUA BARAT DAYA,4403326413370497.0
PAPUA BARAT,472600704738536.7
PAPUA PEGUNUNGAN,659674523516695.9
PAPUA SELATAN,9054947523338720.0
PAPUA TENGAH,2454753352819747.5
PAPUA,7443423799562940.0
RIAU,388500531408114.75
SULAWESI BARAT,1570461776245303.2
SULAWESI SELATAN,1.0122396495444494e+16
SULAWESI TENGAH,1517914511198517.5
SULAWESI TENGGARA,1780148403384142.8
SULAWESI UTARA,1.054659760216802e+16
SUMATERA BARAT,4300211036847909.0
SUMATERA SELATAN,3717965161309860.5
SUMATERA UTARA,2537161365212201.5
YOGYAKARTA,2204182333208904.2
