name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,1.415,27.506,187.933,1.791,71.836,84.261
BALI,0.909,17.639,149.645,3.012,46.443,140.524
BANGKA BELITUNG,0.577,19.766,186.467,1.623,38.281,222.654
BANTEN,0.773,30.823,94.545,1.748,37.619,172.827
BENGKULU,0.526,12.299,261.189,1.673,45.821,434.57
GORONTALO,0.417,19.883,261.453,1.844,39.342,68.948
JAKARTA,0.867,35.711,71.593,1.824,64.553,310.595
JAMBI,0.735,21.762,166.518,1.477,15.196,109.986
JAWA BARAT,0.543,34.21,265.427,1.751,51.28,217.062
JAWA TENGAH,1.051,54.506,155.962,2.184,25.037,74.416
JAWA TIMUR,1.195,38.292,229.897,2.341,20.718,114.911
KALIMANTAN BARAT,0.838,35.844,210.577,1.63,56.415,250.903
KALIMANTAN SELATAN,0.914,28.715,212.609,1.808,41.502,203.793
KALIMANTAN TENGAH,0.833,32.359,194.473,1.777,21.547,74.113
KALIMANTAN TIMUR,0.747,16.561,212.813,1.624,33.617,61.34
KALIMANTAN UTARA,0.641,12.253,176.597,1.767,43.651,246.484
KEPULAUAN RIAU,0.827,20.65,70.133,1.729,41.52,337.759
LAMPUNG,0.582,21.522,270.825,1.592,14.543,65.491
MALUKU UTARA,0.58,19.105,233.833,1.798,26.436,173.14
MALUKU,1.246,17.403,162.442,2.383,105.34,501.378
NUSA TENGGARA BARAT,1.315,19.533,180.76,3.019,26.606,148.859
NUSA TENGGARA TIMUR,1.236,41.563,312.432,4.403,225.33,130.36
PAPUA BARAT DAYA,0.776,36.917,64.285,1.805,58.736,95.119
PAPUA BARAT,0.338,10.712,222.564,1.896,29.228,195.352
PAPUA PEGUNUNGAN,1.192,20.42,155.661,2.883,2.112,53.42
PAPUA SELATAN,0.953,72.468,85.404,1.814,22.478,234.629
PAPUA TENGAH,1.44,37.367,159.21,2.312,20.787,86.767
PAPUA,0.796,21.73,135.438,2.113,71.466,204.161
RIAU,0.872,24.869,163.741,1.874,19.588,0.458
SULAWESI BARAT,0.644,20.664,180.671,1.739,27.259,97.141
SULAWESI SELATAN,0.955,76.553,80.097,1.771,16.7,301.026
SULAWESI TENGAH,0.961,15.891,165.69,1.652,36.326,44.647
SULAWESI TENGGARA,1.192,28.386,309.4,2.461,21.034,59.542
SULAWESI UTARA,0.788,48.819,85.175,1.749,29.53,265.626
SUMATERA BARAT,0.565,20.206,271.472,1.447,30.134,283.462
SUMATERA SELATAN,0.805,27.22,155.202,1.682,67.56,75.624
SUMATERA UTARA,0.844,14.29,148.167,1.996,53.059,39.341
YOGYAKARTA,1.228,24.512,402.969,2.637,26.838,55.532
