name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,0.969,18.346,177.997,1.722,69.721,81.237
BALI,0.593,16.416,138.976,2.01,42.172,137.463
BANGKA BELITUNG,0.523,14.895,148.514,1.544,32.856,220.983
BANTEN,0.629,21.681,79.028,1.545,32.291,167.639
BENGKULU,0.423,11.771,199.199,1.479,44.004,433.38
GORONTALO,0.321,14.784,232.17,1.576,32.628,68.04
JAKARTA,0.707,26.886,62.408,1.566,64.736,302.485
JAMBI,0.593,17.745,131.557,1.406,12.987,102.678
JAWA BARAT,0.45,23.44,173.011,1.471,42.157,208.129
JAWA TENGAH,0.944,24.074,128.834,1.732,17.625,71.541
JAWA TIMUR,1.087,24.531,179.602,1.749,19.177,107.648
KALIMANTAN BARAT,0.709,22.17,121.076,1.567,56.011,254.692
KALIMANTAN SELATAN,0.87,24.623,187.973,1.66,41.536,200.994
KALIMANTAN TENGAH,0.781,24.925,145.581,1.678,21.425,71.581
KALIMANTAN TIMUR,0.588,15.051,177.28,1.536,33.09,58.523
KALIMANTAN UTARA,0.498,10.987,165.856,1.674,44.386,249.749
KEPULAUAN RIAU,0.681,20.186,63.738,1.576,36.48,337.369
LAMPUNG,0.425,17.22,188.471,1.392,11.877,61.443
MALUKU UTARA,0.339,12.358,219.441,1.615,23.832,174.978
MALUKU,0.552,15.178,147.547,1.733,104.986,494.148
NUSA TENGGARA BARAT,0.791,16.077,137.351,1.883,22.882,148.162
NUSA TENGGARA TIMUR,0.995,28.06,263.174,2.023,221.696,119.846
PAPUA BARAT DAYA,0.655,28.509,55.563,1.554,53.608,86.164
PAPUA BARAT,0.326,8.805,193.284,1.628,28.245,194.323
PAPUA PEGUNUNGAN,0.509,18.498,112.326,1.611,1.849,42.911
PAPUA SELATAN,0.895,45.341,69.034,1.568,12.654,218.841
PAPUA TENGAH,1.381,22.563,126.93,1.807,18.672,83.684
PAPUA,0.738,20.033,116.789,1.672,68.879,200.74
RIAU,0.766,23.413,158.914,1.812,18.9,0.456
SULAWESI BARAT,0.536,16.265,133.115,1.476,21.558,101.095
SULAWESI SELATAN,0.86,42.78,69.948,1.579,15.908,301.826
SULAWESI TENGAH,0.628,14.813,143.024,1.534,35.433,47.583
SULAWESI TENGGARA,0.533,20.236,273.46,1.616,20.819,55.58
SULAWESI UTARA,0.741,35.472,62.178,1.671,27.94,261.09
SUMATERA BARAT,0.524,17.835,228.039,1.367,29.609,281.524
SUMATERA SELATAN,0.735,22.319,130.814,1.629,65.357,72.443
SUMATERA UTARA,0.649,12.694,128.84,1.784,49.849,37.876
YOGYAKARTA,0.952,17.796,311.618,1.845,19.429,51.185
