name,mse_precip
ACEH,85.453
BALI,140.122
BANGKA BELITUNG,220.87
BANTEN,170.312
BENGKULU,435.148
GORONTALO,67.406
JAKARTA,309.823
JAMBI,101.527
JAWA BARAT,213.786
JAWA TENGAH,76.732
JAWA TIMUR,108.855
KALIMANTAN BARAT,251.297
KALIMANTAN SELATAN,202.233
KALIMANTAN TENGAH,72.289
KALIMANTAN TIMUR,59.796
KALIMANTAN UTARA,257.325
KEPULAUAN RIAU,337.419
LAMPUNG,60.687
MALUKU UTARA,172.858
MALUKU,487.297
NUSA TENGGARA BARAT,147.032
NUSA TENGGARA TIMUR,126.913
PAPUA BARAT DAYA,85.275
PAPUA BARAT,193.587
PAPUA PEGUNUNGAN,49.168
PAPUA SELATAN,213.147
PAPUA TENGAH,83.783
PAPUA,204.138
RIAU,0.457
SULAWESI BARAT,97.396
SULAWESI SELATAN,299.388
SULAWESI TENGAH,45.367
SULAWESI TENGGARA,57.038
SULAWESI UTARA,265.745
SUMATERA BARAT,282.305
SUMATERA SELATAN,73.814
SUMATERA UTARA,37.671
YOGYAKARTA,51.633
