name,mape_temp,mape_humidity,mape_cloudcover,mape_sealevelpressure,mape_windspeed,mape_precip
ACEH,0.017,0.028,0.122,0.001,0.305,1272575985831088.2
BALI,0.014,0.028,0.164,0.001,0.184,1054310539304948.1
BANGKA BELITUNG,0.016,0.025,0.105,0.001,0.216,1872406970110559.2
BANTEN,0.017,0.034,0.117,0.001,0.225,3908369399717458.5
BENGKULU,0.015,0.026,0.135,0.001,0.221,2471268663925774.0
GORONTALO,0.012,0.024,0.153,0.001,0.225,488119164718180.9
JAKARTA,0.018,0.038,0.109,0.001,0.234,4722850629071195.0
JAMBI,0.019,0.029,0.102,0.0,0.255,1214794679394420.5
JAWA BARAT,0.016,0.031,0.137,0.001,0.26,925600927218670.5
JAWA TENGAH,0.017,0.036,0.116,0.001,0.163,2963738515353749.0
JAWA TIMUR,0.016,0.031,0.153,0.001,0.195,964661367609010.8
KALIMANTAN BARAT,0.021,0.034,0.101,0.001,0.3,5820046341577173.0
KALIMANTAN SELATAN,0.022,0.037,0.162,0.001,0.278,6989574299929010.0
KALIMANTAN TENGAH,0.021,0.035,0.119,0.001,0.342,794191742923036.4
KALIMANTAN TIMUR,0.018,0.029,0.129,0.001,0.274,787858856289696.9
KALIMANTAN UTARA,0.019,0.026,0.135,0.001,0.284,1860030573142824.5
KEPULAUAN RIAU,0.02,0.032,0.063,0.001,0.237,7286739546663094.0
LAMPUNG,0.015,0.029,0.137,0.0,0.245,195546295820430.16
MALUKU UTARA,0.012,0.023,0.143,0.0,0.202,955248967605307.5
MALUKU,0.017,0.029,0.121,0.0,0.199,5910269090735910.0
NUSA TENGGARA BARAT,0.017,0.027,0.151,0.001,0.169,8897381657808193.0
NUSA TENGGARA TIMUR,0.018,0.037,0.235,0.001,0.246,1415275404831194.0
PAPUA BARAT DAYA,0.018,0.036,0.099,0.001,0.245,3436845291125260.0
PAPUA BARAT,0.013,0.025,0.148,0.001,0.255,304312847477685.94
PAPUA PEGUNUNGAN,0.022,0.033,0.09,0.0,0.202,41104495499137.516
PAPUA SELATAN,0.021,0.043,0.128,0.001,0.17,4798902503199686.0
PAPUA TENGAH,0.017,0.033,0.11,0.001,0.168,1707810261130174.8
PAPUA,0.023,0.039,0.12,0.001,0.261,6935636516971873.0
RIAU,0.023,0.039,0.109,0.001,0.323,378134484855294.06
SULAWESI BARAT,0.015,0.028,0.11,0.001,0.227,523319632092956.7
SULAWESI SELATAN,0.021,0.043,0.128,0.001,0.175,9534781103378692.0
SULAWESI TENGAH,0.017,0.028,0.113,0.001,0.258,1730109240160656.8
SULAWESI TENGGARA,0.013,0.025,0.18,0.0,0.286,505710680767435.8
SULAWESI UTARA,0.021,0.039,0.119,0.001,0.252,7368192043819557.0
SUMATERA BARAT,0.016,0.032,0.151,0.001,0.252,2905326951404239.5
SUMATERA SELATAN,0.021,0.034,0.111,0.001,0.263,2410650028115118.0
SUMATERA UTARA,0.019,0.027,0.114,0.001,0.274,1760518395045429.2
YOGYAKARTA,0.016,0.028,0.264,0.001,0.195,534564769192622.94
